ID,Initial,Adjusted
GLCptspp,9.61328660657051,9.61328660657051
PGI,5.69895,5.69298660657051
PFK,7.0575,7.76325
FBP,0.0,0.7057500000000001
FBA,7.0575,7.0575
TPI,7.0575,7.023774047075895
GAPD,15.7114,15.7114
PGK,-15.7114,-15.7114
PGM,-14.5567,-14.5567
ENO,14.5567,14.5567
PYK,2.4863,2.73493
PPS,0.0,0.24863000000000002
G6PDH2r,3.9203,3.9203
PGL,3.9203,3.9203
GND,2.83686600015306,2.83686600015306
RPE,1.40446609384571,1.3726069299714059
RPI,-1.42126550704157,-1.4443365364475005
TKT1,0.824048187844473,0.7921890239701711
TKT2,0.580417906001235,0.580417906001235
TALA,0.809169718156761,0.7921890239701711
LDH_D,-0.001,0.0
D_LACt2pp,-0.001,0.0
PYRt2rpp,-0.001,0.0
PFL,0.441214717123854,0.441214717123854
PTAr,6.55969162199471,6.55969162199471
ACKr,-6.55969162199471,-6.55969162199471
ACt2rpp,-6.828,-9.12636263883448
ACALD,-0.31329279920789,-1.3618044520327608
ACALDtpp,-0.905253922530226,0.0
ALCD2x,0.0,0.0
ETOHtrpp,0.0,0.0
PDH,11.2995,11.2995
OAADC,0.0,0.0
PPC,2.48232791551958,2.48232791551958
PPCK,0.511485992226995,0.511485992226995
ME1,0.0,0.0
ME2,0.0,0.0
SUCCt1pp,-0.0828792450055825,0.0
AKGt2rpp,-0.441789097369944,0.0
CS,2.977,2.977
ACONTa,2.96952866407566,2.96952866407566
ACONTb,2.96952866407566,2.96952866407566
ICDHyr,2.96852866407566,2.96852866407566
AKGDH,2.02959433999256,2.02959433999256
SUCOAS,-2.1371,-1.6431017670638801
SUCDi,2.1391,2.1391
FUM,2.27701966778045,2.27701966778045
MDH,2.1391,2.1391
MDH2,0.165333675553452,0.165333675553452
ICL,0.001,0.001
MALS,0.0274140077730045,0.0274140077730045
PGMT,-0.0887646530761251,0.0
G3PD2,-0.00524704603285894,0.0
HCO3E,0.213026607013584,0.213026607013584
CO2tpp,-18.6357997617111,-20.06242807408185
PPA,1.63121829419809,1.63121829419809
CAT,0.0,0.0
SPODM,0.00169112824083434,0.00169112824083434
SPODMpp,0.0,0.0
ATPM,40.53745443508,40.53745443508
ATPS4rpp,63.1452996488171,63.1452996488171
THD2pp,0.0,0.0
NADTRHD,0.994047804127367,0.994047804127367
NADH16pp,34.4421503585568,34.4421503585568
FDH4pp,1.25731569607471,1.25731569607471
NADPHQR2,0.0,0.0
NADH5,0.0,0.0
LDH_D2,0.0,0.0
POX,0.0,0.0
G3PD5,0.0,0.0
L_LACD2,0.0,0.0
CYTBO3_4pp,38.1914658766353,38.1914658766353
CYTBDpp,0.0,0.0
BIOMASS_Ec_iML1515_WT_75p37M,0.455338783207954,0.0
EX_glc__D_e,-9.655,-9.61328660657051
